s'amuser,to have fun/to have a good time
s'appeler,to be named/to be called
s'approcher,to approach
s'arrêter,to stop
s'asseoir,to sit (down)
s'en aller,to go away
s'endormir,to fall asleep
s'ennuyer,to get bored
s'entendre,to get along
s'épiler,to tweeze
s'habiller,to get dressed
se baigner,to bathe/to take a bath/to swim
se coiffer,to style/to brush one's hair
se coucher,to go to bed/to lie down
se dépêcher,to hurry
se fâcher,to get mad/to get angry
se laver,to wash (oneself)
se lever,to get up
se marier,to get married
se perdre,to get lost
se promener,to take a walk
se raser,to shave
se rencontrer,to meet (each other)
se reposer,to rest
se réveiller,to wake up
