School : Team Name ( if applicable ),RANKING,,,,,,,,,,,
Seal Team Scalyr,1,,,,,,,,,,,
RoboCenter,2,,,,,,,,,,,
45C,3,,,,,,,,,,,
HMS Seabots,4,,,,,,,,,,,
SEAL Robotics,5,,,,,,,,,,,
Curiodyssea,6,,,,,,,,,,,
Phoenix Robotics,7,,,,,,,,,,,
Sea Dragons,8,,,,,,,,,,,
Altum Operations,9,,,,,,,,,,,
Husky Explorer,10,,,,,,,,,,,
UR2,11,,,,,,,,,,,
Fox Enterprises,12,,,,,,,,,,,
CMAss,13,,,,,,,,,,,
Oostburg ROV,14,,,,,,,,,,,
Loggerhead ROV,15,,,,,,,,,,,
The Phoenix,16,,,,,,,,,,,
North Paulding Robotics,17,,,,,,,,,,,
Kepler Enterprises,18,,,,,,,,,,,
R - Mateys,19,,,,,,,,,,,
Depth 34,20,,,,,,,,,,,
SeaPreme,21,,,,,,,,,,,
Extreme Ocean Observing System Repair Co,22,,,,,,,,,,,
Ursa Apex Robotics,23,,,,,,,,,,,
OD - 4D,24,,,,,,,,,,,
AquaBot Technicians,25,,,,,,,,,,,
KTS Dolphin,26,,,,,,,,,,,
Innovation Touch,27,,,,,,,,,,,
Vortex Brainnovates,28,,,,,,,,,,,
H20,29,,,,,,,,,,,
SURO,30,,,,,,,,,,,
Heritage Robotics Technologies,31,,,,,,,,,,,
Aqautic Robotics,32,,,,,,,,,,,
Granby Girls in Engineering,33,,,,,,,,,,,
Deep Ocean Robotics,34,,,,,,,,,,,
Deep Sea Dundee,35,,,,,,,,,,,
MantaRays,36,,,,,,,,,,,
Electro Gills,37,,,,,,,,,,,
Milton SLS,38,,,,,,,,,,,
HAWKS Engineering,39,,,,,,,,,,,
South Shore Robotics,40,,,,,,,,,,,
Robo - Tech,41,,,,,,,,,,,
Dasyatis,42,,,,,,,,,,,
Deep Dive BNDS,43,,,,,,,,,,,
Sea Storm,44,,,,,,,,,,,
Alev Robotics,45,,,,,,,,,,,
